Location,Tournament,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,AvgW,AvgL,target
67,15,0,0,2,0,1,577,422,66.0,34.0,826.0,1286.0,2.42,1.55,0
60,69,0,0,2,1,2,443,691,123.0,28.0,496.0,1385.0,2.28,1.6,1
56,79,3,1,2,3,1,642,596,31.0,83.0,1789.0,881.0,1.43,2.82,1
68,20,3,0,2,0,1,679,485,17.0,31.0,2585.0,1519.0,1.65,2.23,0
1,5,1,1,2,1,1,147,67,22.0,842.0,1710.0,19.0,1.03,13.76,1
68,20,3,0,2,4,1,648,677,23.0,8.0,1760.0,3825.0,3.55,1.31,0
31,81,0,1,0,0,2,232,101,31.0,202.0,1235.0,239.0,1.37,3.02,1
0,104,0,1,1,0,1,306,272,64.0,67.0,817.0,781.0,2.25,1.63,0
68,47,2,1,0,3,3,529,510,38.0,7.0,1168.0,3860.0,2.72,1.46,0
68,20,3,0,2,1,1,250,163,14.0,27.0,2325.0,1477.0,1.76,2.06,0
31,81,0,1,0,4,2,489,102,45.0,64.0,983.0,755.0,2.54,1.5,0
45,132,2,1,1,4,3,560,496,65.0,2.0,830.0,7945.0,5.91,1.14,0
53,17,2,1,2,1,4,684,77,17.0,64.0,1720.0,765.0,1.18,4.8,1
9,91,1,1,0,1,2,269,529,18.0,78.0,1910.0,647.0,2.41,1.55,0
23,131,3,1,2,0,1,250,248,62.0,54.0,745.0,836.0,1.7,2.13,0
41,21,3,1,2,0,2,112,5,59.0,61.0,821.0,789.0,3.61,1.28,1
71,1,1,1,1,0,2,719,733,52.0,5.0,900.0,5035.0,3.61,1.29,1
28,97,0,1,2,6,2,592,540,39.0,64.0,1229.0,774.0,1.52,2.54,1
18,14,0,1,0,1,1,651,101,109.0,119.0,515.0,467.0,1.93,1.87,0
57,83,3,1,0,6,1,592,222,6.0,10.0,3470.0,3065.0,1.9,1.91,1
64,57,0,1,1,1,2,610,220,171.0,142.0,317.0,396.0,2.01,1.79,0
48,85,3,1,0,0,1,161,629,47.0,132.0,1048.0,465.0,1.61,2.29,0
15,26,0,1,2,0,2,684,560,53.0,35.0,797.0,1090.0,1.61,2.25,1
63,127,2,1,2,2,4,697,657,18.0,60.0,1675.0,804.0,1.07,8.49,1
74,64,3,1,0,0,1,510,568,35.0,44.0,1345.0,1130.0,1.52,2.53,1
74,64,3,1,0,1,1,631,354,14.0,63.0,2460.0,819.0,1.53,2.5,1
53,84,0,1,2,0,1,223,108,55.0,79.0,1072.0,838.0,1.16,5.03,1
63,127,2,1,2,2,4,657,697,60.0,18.0,804.0,1675.0,8.49,1.07,0
45,132,2,1,1,3,3,316,68,79.0,9.0,900.0,4468.0,6.14,1.13,0
14,33,0,1,0,0,2,260,451,115.0,116.0,470.0,470.0,1.98,1.79,0
7,4,0,1,2,0,1,199,708,34.0,59.0,1235.0,865.0,2.83,1.41,0
81,108,3,1,2,1,1,22,666,36.0,131.0,1350.0,452.0,1.48,2.62,1
41,21,3,1,2,1,1,313,511,24.0,75.0,2091.0,946.0,1.33,3.32,1
17,63,0,1,0,1,1,47,252,18.0,85.0,1930.0,655.0,1.42,2.84,1
87,78,0,1,1,4,2,660,349,129.0,26.0,449.0,1450.0,2.56,1.49,0
53,17,2,1,2,2,3,493,49,66.0,25.0,770.0,1675.0,3.3,1.34,0
51,55,0,1,0,0,1,265,354,56.0,172.0,964.0,341.0,1.39,2.94,0
41,21,3,1,2,2,1,337,631,23.0,12.0,1960.0,2880.0,2.15,1.7,0
